Datetime;A+_kW
01/01/2022 00:15;29
01/01/2022 00:30;29
01/01/2022 00:45;29
01/01/2022 01:00;28
01/01/2022 01:15;30
01/01/2022 01:30;31
01/01/2022 01:45;30
01/01/2022 02:00;30
01/01/2022 02:15;29
01/01/2022 02:30;29
01/01/2022 02:45;30
01/01/2022 03:00;29
01/01/2022 03:15;29
01/01/2022 03:30;28
01/01/2022 03:45;28
01/01/2022 04:00;29
01/01/2022 04:15;29
01/01/2022 04:30;28
01/01/2022 04:45;29
01/01/2022 05:00;29
01/01/2022 05:15;30
01/01/2022 05:30;31
01/01/2022 05:45;29
01/01/2022 06:00;28
01/01/2022 06:15;29
01/01/2022 06:30;29
01/01/2022 06:45;29
01/01/2022 07:00;28
01/01/2022 07:15;29
01/01/2022 07:30;30
01/01/2022 07:45;29
01/01/2022 08:00;30
01/01/2022 08:15;28
01/01/2022 08:30;29
01/01/2022 08:45;29
01/01/2022 09:00;30
01/01/2022 09:15;32
01/01/2022 09:30;32
01/01/2022 09:45;30
01/01/2022 10:00;28
01/01/2022 10:15;23
01/01/2022 10:30;18
01/01/2022 10:45;23
01/01/2022 11:00;29
01/01/2022 11:15;26
01/01/2022 11:30;34
01/01/2022 11:45;31
01/01/2022 12:00;22
01/01/2022 12:15;28
01/01/2022 12:30;38
01/01/2022 12:45;28
01/01/2022 13:00;26
01/01/2022 13:15;29
01/01/2022 13:30;34
01/01/2022 13:45;31
01/01/2022 14:00;29
01/01/2022 14:15;26
01/01/2022 14:30;30
01/01/2022 14:45;30
01/01/2022 15:00;30
01/01/2022 15:15;29
01/01/2022 15:30;29
01/01/2022 15:45;31
01/01/2022 16:00;28
01/01/2022 16:15;31
01/01/2022 16:30;29
01/01/2022 16:45;31
01/01/2022 17:00;29
01/01/2022 17:15;32
01/01/2022 17:30;36
01/01/2022 17:45;28
01/01/2022 18:00;30
01/01/2022 18:15;31
01/01/2022 18:30;29
01/01/2022 18:45;29
01/01/2022 19:00;29
01/01/2022 19:15;29
01/01/2022 19:30;29
01/01/2022 19:45;28
01/01/2022 20:00;29
01/01/2022 20:15;29
01/01/2022 20:30;28
01/01/2022 20:45;28
01/01/2022 21:00;29
01/01/2022 21:15;30
01/01/2022 21:30;33
01/01/2022 21:45;29
01/01/2022 22:00;29
01/01/2022 22:15;29
01/01/2022 22:30;28
01/01/2022 22:45;28
01/01/2022 23:00;29
01/01/2022 23:15;29
01/01/2022 23:30;29
01/01/2022 23:45;27
02/01/2022 00:00;28
02/01/2022 00:15;28
02/01/2022 00:30;28
02/01/2022 00:45;29
02/01/2022 01:00;30
02/01/2022 01:15;30
02/01/2022 01:30;31
02/01/2022 01:45;29
02/01/2022 02:00;28
02/01/2022 02:15;30
02/01/2022 02:30;30
02/01/2022 02:45;29
02/01/2022 03:00;29
02/01/2022 03:15;30
02/01/2022 03:30;28
02/01/2022 03:45;29
02/01/2022 04:00;28
02/01/2022 04:15;29
02/01/2022 04:30;29
02/01/2022 04:45;27
02/01/2022 05:00;29
02/01/2022 05:15;30
02/01/2022 05:30;32
02/01/2022 05:45;28
02/01/2022 06:00;28
02/01/2022 06:15;29
